Date,Open,High,Low,Close
18-November-2022,14026.56,14063.94,13870.30,13984.42,
21-November-2022,13953.81,13953.81,13821.26,13839.64,
22-November-2022,13830.72,13948.04,13785.62,13936.98,
23-November-2022,13997.41,13997.41,13893.13,13910.27,
24-November-2022,13953.34,14239.15,13925.83,14204.63,
25-November-2022,14210.99,14296.25,14119.17,14248.81,
28-November-2022,14193.91,14372.98,14183.91,14219.65,
29-November-2022,14182.83,14321.74,14182.70,14228.12,
30-November-2022,14196.74,14347.21,14148.22,14283.64,
1-December-2022,14405.81,14557.40,14405.81,14509.55,
2-December-2022,14477.23,14503.32,14359.56,14434.48,
5-December-2022,14402.72,14445.13,14320.32,14393.24,
6-December-2022,14274.07,14294.08,14147.97,14195.88,
7-December-2022,14174.82,14199.86,14072.21,14118.09,
8-December-2022,14118.93,14139.26,14036.97,14124.68,
9-December-2022,14129.55,14149.10,13706.52,13776.73,
12-December-2022,13688.02,13777.37,13557.62,13685.69,
13-December-2022,13704.53,13880.16,13657.38,13866.79,
14-December-2022,13901.33,13985.50,13901.33,13947.62,
15-December-2022,13903.41,13903.41,13660.00,13680.51,
16-December-2022,13592.53,13716.18,13481.53,13510.12,
19-December-2022,13477.75,13505.98,13381.94,13472.56,
20-December-2022,13449.00,13482.51,13274.83,13464.20,
21-December-2022,13521.60,13575.70,13440.48,13454.89,
22-December-2022,13515.02,13575.99,13421.39,13464.71,
23-December-2022,13333.94,13384.35,13216.77,13240.55,
26-December-2022,13211.59,13378.13,13211.59,13336.29,
27-December-2022,13396.77,13468.82,13307.06,13438.84,
28-December-2022,13380.14,13469.76,13318.80,13397.28,
29-December-2022,13334.04,13487.25,13322.04,13471.60,
30-December-2022,13539.64,13582.53,13380.10,13413.34,
2-January-2023,13441.68,13510.47,13381.71,13496.86,
3-January-2023,13469.74,13605.92,13453.08,13568.45,
4-January-2023,13562.59,13562.59,13401.03,13427.31,
5-January-2023,13495.97,13508.74,13288.78,13345.13,
6-January-2023,13310.44,13334.35,13075.92,13096.70,
9-January-2023,13159.96,13451.96,13159.96,13438.13,
10-January-2023,13429.44,13429.44,13202.39,13283.98,
11-January-2023,13260.93,13398.99,13208.32,13266.14,
12-January-2023,13313.22,13350.06,13201.67,13295.64,
