Date,Open,High,Low,Close
3-January-2023,22907.87,23145.94,22907.72,23124.92,
4-January-2023,23080.61,23196.69,23015.92,23053.63,
5-January-2023,23084.56,23226.55,23060.38,23205.78,
6-January-2023,23159.90,23261.54,22975.88,23010.30,
9-January-2023,23122.74,23288.18,23085.98,23214.72,
10-January-2023,23172.25,23315.68,23171.44,23250.77,
11-January-2023,23255.56,23272.09,23058.77,23081.45,
12-January-2023,23106.24,23126.31,22962.22,23077.30,
13-January-2023,23116.56,23124.45,22935.83,23065.21,
16-January-2023,23077.64,23161.00,22945.55,23018.24,
17-January-2023,23017.62,23043.22,22887.50,22996.51,
18-January-2023,23015.03,23138.32,22969.07,23116.51,
19-January-2023,23075.57,23131.13,22989.55,23030.97,
20-January-2023,22956.59,23055.85,22837.54,22848.68,
23-January-2023,22816.63,23049.94,22816.62,23030.71,
24-January-2023,23003.45,23037.50,22760.79,22798.14,
25-January-2023,22738.15,22787.11,22500.85,22544.29,
27-January-2023,22634.23,22833.87,22533.78,22656.57,
30-January-2023,22548.49,22710.01,22506.66,22567.34,
31-January-2023,22597.75,22659.11,22349.54,22491.63,
1-February-2023,22555.38,22712.15,22242.32,22420.19,
2-February-2023,22371.65,22446.25,22243.74,22343.92,
3-February-2023,22300.76,22351.13,22022.16,22136.72,
6-February-2023,22010.97,22236.60,22001.91,22213.45,
7-February-2023,22154.62,22290.00,22112.98,22210.24,
8-February-2023,22208.32,22488.86,22156.70,22477.22,
9-February-2023,22450.40,22609.79,22330.14,22381.36,
10-February-2023,22350.55,22486.03,22254.30,22440.99,
13-February-2023,22413.82,22477.48,22240.04,22293.53,
14-February-2023,22304.87,22350.51,22179.93,22194.89,
15-February-2023,22120.80,22279.49,22067.54,22260.65,
16-February-2023,22332.30,22505.10,22300.84,22453.37,
17-February-2023,22400.84,22409.74,22249.30,22259.32,
20-February-2023,22251.52,22251.52,22038.61,22143.26,
21-February-2023,22147.14,22249.08,22054.91,22085.74,
22-February-2023,22054.67,22151.42,21973.36,21986.52,
23-February-2023,22057.22,22057.22,21889.40,21943.46,
24-February-2023,21989.26,22099.45,21886.80,21996.59,
27-February-2023,21937.72,21991.87,21731.48,21804.86,
28-February-2023,21781.34,21875.35,21584.54,21600.41,
1-March-2023,21596.63,21712.92,21569.94,21682.21,
2-March-2023,21604.42,21715.73,21604.42,21669.14,
3-March-2023,21687.27,21758.86,21647.61,21692.16,
6-March-2023,21684.43,21885.90,21684.43,21778.56,
8-March-2023,21696.24,21763.79,21626.21,21695.88,
9-March-2023,21693.09,21848.48,21668.55,21682.47,
10-March-2023,21613.42,21644.61,21506.72,21630.42,
13-March-2023,21567.12,21717.61,21429.93,21484.67,
14-March-2023,21438.88,21597.38,21394.21,21461.75,
